Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME
20181106,195.3,70.96,83.66,389.85,159.42,64.25,240.56,20.68,168.09,16.01,115.66,43.99,65.98,158.09,69.83,64.6,107.79,123.24,123.22,229.37,89.11,165.21,207.54,43.36,91.03,1069.57,1055.81,64.87,1642.81,,65.07,35.17,74.45,104.98,44.9,156.16,89.1,127.55,84.0,74.64
20181107,201.29,72.5,86.96,412.1,163.87,65.09,253.43,21.84,170.51,15.6,117.66,45.06,68.26,160.98,71.55,66.19,107.99,125.31,127.18,245.31,89.77,169.61,212.83,43.83,92.52,1108.24,1093.39,65.37,1755.49,,66.04,36.97,75.13,107.31,44.43,156.95,90.09,129.57,86.54,75.24
20181108,204.07,72.96,87.73,413.85,164.5,62.79,249.96,21.2,172.45,15.67,117.0,45.21,67.79,161.25,72.18,65.71,105.87,125.11,127.18,245.67,90.42,169.31,212.92,43.83,93.7,1094.63,1082.4,65.37,1754.91,,66.3,36.86,74.17,108.5,44.25,159.36,88.89,129.8,89.17,74.97
20181109,201.1,72.79,88.79,405.17,165.15,55.01,244.84,21.03,171.18,15.52,115.24,45.04,67.27,159.9,70.94,65.97,102.38,124.46,123.44,235.96,89.39,165.52,208.26,44.61,93.72,1077.02,1066.15,63.42,1712.43,,67.32,36.22,75.32,108.28,43.82,160.14,89.61,127.66,88.86,74.45
20181112,197.04,70.56,89.69,337.86,162.44,53.89,236.67,19.03,167.06,15.52,112.55,44.44,64.5,157.49,69.08,65.76,98.07,123.93,118.6,217.29,88.59,163.87,203.7,45.19,91.56,1049.36,1038.63,61.2,1636.85,,68.39,36.86,76.2,106.49,42.47,161.03,91.28,125.06,89.92,72.74
20181113,198.37,69.49,88.22,330.63,161.45,52.55,238.74,19.61,184.72,15.41,111.38,44.37,64.34,158.05,69.19,67.58,99.2,123.32,118.52,219.32,88.87,162.65,205.27,45.12,91.38,1047.97,1036.05,60.0,1631.17,,68.83,37.78,76.43,107.86,42.16,161.31,91.14,126.48,91.31,72.81
20181114,198.06,69.41,88.31,312.56,160.29,51.6,235.22,20.81,177.68,15.24,111.07,43.95,63.47,157.21,68.41,67.21,99.94,123.84,116.11,219.99,87.11,157.72,199.74,44.66,88.64,1054.58,1043.66,59.1,1599.01,,68.74,38.11,76.13,107.77,41.94,163.41,90.38,124.87,89.58,72.97
20181115,204.91,70.73,90.14,320.78,162.49,53.56,239.95,21.49,179.05,15.42,113.29,44.27,64.72,160.64,69.46,67.71,102.7,121.83,119.68,222.77,88.46,159.37,197.9,45.12,89.29,1071.05,1064.71,57.28,1619.44,,69.39,37.82,76.79,109.6,42.69,162.13,92.08,126.66,89.15,74.4
20181116,209.0,72.04,91.53,319.78,165.0,50.94,238.89,20.66,179.21,15.51,113.36,44.57,64.99,163.86,69.87,67.99,100.98,122.83,118.62,225.41,89.27,157.39,198.04,45.25,89.5,1068.27,1061.49,56.78,1593.41,,69.3,36.75,77.02,109.46,42.94,163.98,93.25,126.53,88.75,74.38
20181119,205.58,70.54,89.48,299.83,162.77,49.14,219.69,19.11,177.75,15.38,110.1,45.37,62.61,159.89,68.27,67.3,99.61,122.09,115.06,204.43,89.44,156.04,192.98,45.38,88.45,1027.42,1020.0,55.68,1512.29,,69.74,35.82,77.43,108.25,43.3,166.23,93.49,125.96,90.82,72.6
20181120,200.51,69.06,88.09,302.29,158.9,49.26,219.73,19.21,171.53,14.9,106.55,44.29,67.52,157.56,66.67,67.02,95.74,120.76,116.82,210.1,88.75,153.4,192.51,45.26,88.09,1030.45,1025.76,55.63,1495.46,,69.0,35.59,77.82,106.09,43.06,160.64,93.02,122.21,88.87,71.24
20181121,198.69,68.53,86.15,301.6,156.98,50.85,225.98,18.73,174.67,15.07,109.37,44.39,67.72,159.18,67.88,68.52,95.52,121.95,118.11,215.72,89.8,154.33,196.0,44.07,88.07,1043.43,1037.61,54.39,1516.73,,67.52,36.31,75.65,106.5,43.86,160.31,91.55,123.64,87.43,72.25
20181123,196.8,68.11,85.63,299.41,156.93,50.05,225.56,19.38,177.24,15.0,109.28,44.47,68.21,157.49,67.79,69.41,96.77,121.59,118.1,218.87,89.11,153.61,194.78,43.98,87.73,1030.1,1023.88,53.72,1502.06,,67.75,37.95,75.86,105.74,43.37,160.39,92.1,123.61,87.66,71.66
20181126,199.86,68.81,86.24,311.15,158.4,50.91,231.96,20.08,177.72,15.4,112.48,44.61,69.25,158.58,68.4,68.9,96.61,122.77,119.0,223.38,89.77,153.16,200.95,44.29,88.42,1055.94,1048.62,53.21,1581.33,,67.82,38.1,75.96,109.68,43.85,161.59,92.25,127.97,88.94,72.16
20181127,200.69,69.71,87.68,313.95,159.11,50.75,232.25,21.05,179.27,15.22,110.51,44.55,69.36,156.27,67.57,70.75,95.43,122.5,120.93,220.71,90.25,152.03,193.81,44.79,87.5,1052.28,1044.41,53.79,1581.42,,68.68,38.29,76.58,110.11,43.43,162.08,92.11,126.18,89.63,71.38
20181128,204.34,72.83,88.94,335.22,162.21,51.02,249.21,21.34,178.95,15.51,113.79,45.36,71.48,158.66,69.6,74.74,96.62,124.22,122.84,235.59,92.2,154.75,199.57,44.77,89.16,1091.79,1086.23,54.95,1677.75,,68.11,38.94,76.22,112.89,44.32,162.0,92.62,132.34,91.24,73.93
20181129,204.56,73.26,89.91,331.99,161.07,52.56,249.09,21.43,177.67,15.44,111.58,45.4,71.57,159.21,68.11,72.94,96.42,122.38,123.34,228.7,91.75,155.24,196.7,44.67,88.48,1094.58,1088.3,55.94,1673.57,,67.82,38.42,76.35,111.31,43.44,162.72,92.48,127.58,90.5,73.22
20181130,207.92,74.05,94.27,332.68,164.52,49.88,250.89,21.3,177.71,15.49,111.12,45.74,72.35,160.87,68.75,73.26,96.32,124.5,123.15,229.89,91.59,156.6,200.36,45.39,89.19,1109.65,1094.43,54.83,1690.17,,68.62,40.16,77.74,112.27,43.25,164.49,95.41,129.75,88.9,73.43
20181203,208.76,74.27,93.66,343.45,166.82,46.6,255.26,23.71,177.89,15.6,111.31,46.07,74.67,166.62,70.24,72.84,98.46,125.9,125.47,235.7,93.1,158.09,199.05,45.9,88.76,1116.36,1106.43,55.73,1772.36,,69.8,39.65,78.31,112.36,43.18,163.08,95.7,130.96,89.02,76.09
20181204,202.2,71.5,90.55,327.18,164.21,46.52,245.82,21.12,178.19,15.46,105.15,44.29,72.91,163.92,68.71,70.03,93.19,123.54,122.3,220.95,90.28,154.0,188.86,46.17,86.4,1062.47,1050.82,54.4,1668.4,,70.04,36.69,78.42,107.64,40.77,163.48,95.78,121.43,87.61,72.08
20181206,202.68,71.54,90.33,332.98,159.25,48.15,250.63,21.3,175.76,15.45,106.56,43.55,71.91,161.37,69.02,69.61,91.19,127.08,121.04,219.34,89.74,155.52,187.14,45.72,85.09,1078.08,1068.73,54.4,1699.19,,70.16,36.94,78.76,108.25,39.41,167.63,97.32,119.33,85.98,71.49
20181207,198.24,69.95,86.96,317.52,157.45,47.23,238.0,19.46,167.59,15.53,103.04,43.25,70.25,157.16,66.65,64.94,88.65,126.17,115.6,210.28,88.67,152.42,180.44,45.84,83.81,1046.58,1036.58,54.18,1629.13,,70.42,33.57,79.32,106.68,37.9,166.43,97.8,115.82,84.32,70.85
20181210,198.32,70.92,87.61,323.66,157.72,47.88,244.09,19.99,166.17,15.77,100.48,43.04,70.59,157.08,67.28,63.48,89.04,125.76,114.65,216.66,87.23,152.38,179.01,45.94,83.28,1053.18,1039.55,53.36,1641.03,,70.71,33.84,79.36,105.79,37.51,166.19,97.46,112.46,83.55,70.7
20181211,197.46,71.84,88.17,328.13,158.3,48.2,245.34,19.98,165.8,15.74,99.42,42.64,71.05,155.93,67.42,62.43,89.08,124.63,114.83,220.27,87.31,149.69,178.17,46.28,82.49,1061.65,1051.75,53.95,1643.24,,70.29,34.1,79.76,105.4,36.59,166.64,96.48,111.62,82.48,70.73
20181212,199.81,72.53,88.6,330.69,158.62,48.45,245.55,20.48,166.98,15.89,101.89,42.9,71.75,157.71,68.03,62.02,88.78,121.29,117.01,219.29,87.84,152.27,179.37,45.89,82.4,1073.73,1063.68,53.33,1663.54,,69.84,34.35,79.52,107.48,37.68,164.65,97.12,112.71,83.22,72.61
20181213,202.13,72.18,87.71,319.72,160.25,48.51,248.08,19.86,166.29,15.78,98.36,45.75,71.14,157.28,67.25,61.34,87.94,123.0,112.43,217.23,87.44,150.86,175.49,46.12,80.59,1073.54,1061.9,53.92,1658.38,,70.44,32.46,80.36,106.7,37.29,166.8,97.66,112.17,81.89,71.77
20181214,196.1,70.76,85.61,316.19,155.53,47.75,230.0,19.9,163.78,15.95,95.51,44.61,69.36,155.41,65.1,62.3,84.97,122.5,109.43,215.57,86.35,148.23,173.18,45.32,79.3,1051.71,1042.1,52.73,1591.91,,69.81,32.41,80.01,105.7,37.49,166.6,97.14,110.19,78.97,70.39
20181217,192.82,69.75,84.93,298.77,151.67,47.08,221.38,18.83,158.84,14.88,95.46,44.32,67.85,153.81,64.21,61.29,80.51,118.75,109.53,206.97,83.67,148.33,161.18,44.13,80.16,1025.65,1016.53,52.35,1520.91,,67.31,32.04,77.33,101.18,37.46,160.94,93.58,108.66,77.0,69.17
20181218,194.56,70.08,83.58,304.8,152.14,47.32,226.18,19.5,158.24,14.98,95.72,44.54,67.99,154.76,64.35,62.66,81.03,120.24,105.99,209.5,84.31,146.76,160.28,43.92,81.51,1043.41,1028.71,50.89,1551.48,,67.38,33.54,77.26,101.02,37.56,162.31,92.68,108.4,76.24,68.87
20181219,189.96,69.0,83.52,296.14,150.96,46.33,224.65,18.16,156.12,14.74,92.2,43.98,66.83,154.1,63.02,62.03,79.8,119.94,102.78,201.56,81.98,136.56,158.75,43.72,80.98,1035.46,1023.01,51.4,1495.08,,67.21,32.42,76.86,98.77,39.34,162.54,92.59,105.47,76.31,67.9
20181220,187.38,68.38,85.37,284.28,143.5,47.05,218.65,17.94,152.5,14.69,93.34,43.4,65.19,154.54,62.3,60.68,76.16,117.42,101.22,197.78,80.41,135.63,154.28,43.82,79.81,1023.58,1009.41,50.44,1460.83,,67.03,31.89,77.62,95.77,38.15,161.54,92.86,104.38,73.22,66.11
20181221,183.75,67.27,84.92,290.29,137.2,45.85,208.8,16.93,151.41,14.45,92.42,43.23,63.29,155.19,59.8,59.34,74.84,115.34,94.63,199.17,78.54,131.46,149.06,43.45,79.85,991.25,979.54,49.09,1377.45,,66.94,30.78,76.43,91.33,37.4,158.0,91.19,100.31,71.98,65.21
20181224,178.62,65.56,84.16,281.08,133.67,43.99,205.16,16.65,148.92,13.82,90.24,42.33,62.67,149.88,58.33,57.58,73.13,110.28,93.94,193.72,75.41,129.82,144.46,41.21,77.27,984.67,976.22,47.56,1343.96,,63.24,29.72,73.55,89.5,37.33,153.58,86.31,97.58,70.76,63.35
20181226,186.26,69.62,89.04,307.44,139.01,46.42,222.95,17.9,155.03,14.28,95.06,44.14,65.54,156.92,60.98,60.79,76.28,113.97,97.87,210.99,78.61,133.41,151.68,41.68,80.8,1047.85,1039.46,48.43,1470.9,,64.35,32.29,74.36,93.84,38.59,157.53,88.53,102.7,73.04,66.25
20181227,190.7,70.63,89.91,315.67,140.41,47.04,225.14,17.49,154.69,14.29,97.15,44.98,66.48,159.75,61.65,60.74,77.22,114.49,98.1,211.33,79.3,132.67,151.89,41.99,81.79,1052.9,1043.88,48.7,1461.64,,65.3,32.04,75.04,94.68,39.33,158.6,89.41,104.08,73.53,67.31
20181228,189.37,71.09,91.12,318.17,139.82,46.8,223.13,17.82,155.46,14.27,96.01,44.95,65.96,160.7,61.05,60.31,76.74,113.94,97.21,208.29,78.55,132.8,149.82,42.05,82.02,1046.68,1037.08,48.89,1478.02,,64.94,31.83,74.73,94.42,38.62,158.83,90.02,103.15,73.96,66.73
20181231,190.54,72.33,92.19,325.04,141.01,46.57,226.24,18.46,157.46,14.46,97.44,45.56,67.46,160.05,61.08,60.85,77.07,115.24,97.36,209.43,79.71,133.66,150.08,42.25,82.63,1044.96,1035.61,49.39,1501.97,,65.23,32.11,74.74,95.32,39.41,158.19,90.77,104.37,74.4,67.7
20190102,190.95,69.5,89.23,309.96,140.59,47.03,224.57,18.83,157.92,14.18,98.23,45.52,65.69,159.59,59.01,61.52,78.11,111.37,98.05,202.12,81.05,135.88,155.38,41.15,81.64,1054.68,1045.85,49.31,1539.13,,63.53,32.48,72.94,95.68,39.62,156.74,88.77,107.96,74.45,67.49
20190103,183.76,66.22,86.29,302.29,135.79,45.36,215.7,17.05,162.85,14.17,96.43,44.37,63.27,155.31,57.7,58.12,72.69,112.29,100.21,184.78,79.68,136.07,151.45,41.22,80.3,1025.47,1016.06,49.04,1500.28,,63.69,30.06,72.77,93.43,38.75,157.68,89.12,105.1,73.37,65.57
20190104,191.32,68.11,89.07,313.44,141.07,47.17,226.19,19.0,158.81,14.64,100.65,44.92,65.46,161.61,59.38,60.0,76.24,113.44,106.0,186.71,79.5,142.57,161.7,41.72,82.67,1078.07,1070.71,50.3,1575.39,,64.59,32.04,73.44,97.64,40.18,158.31,89.79,110.73,74.22,68.05
20190107,190.88,69.13,90.37,314.8,141.56,48.5,229.26,20.57,161.14,14.71,102.55,45.16,66.85,159.93,61.24,60.12,76.58,114.14,107.94,189.92,80.33,142.44,161.69,41.43,82.54,1075.92,1068.39,48.78,1629.51,,63.85,32.95,73.03,98.17,40.41,159.29,88.84,111.24,74.75,67.94
20190108,191.68,68.3,90.79,318.42,145.14,49.97,232.68,20.75,160.02,15.05,102.37,45.3,67.83,158.09,62.45,60.65,77.33,116.79,108.61,192.95,81.44,145.6,164.5,42.07,82.53,1085.37,1076.28,49.06,1656.58,,64.86,32.42,73.93,98.65,40.57,161.09,90.14,111.94,75.55,68.94
20190109,192.3,69.44,87.81,336.4,145.87,50.83,235.43,20.19,164.43,15.02,103.5,45.2,69.25,156.79,63.26,62.18,76.84,117.3,109.96,200.32,82.35,144.6,168.1,41.69,83.16,1081.65,1074.66,49.66,1659.42,,64.38,33.42,73.37,98.83,41.16,159.68,88.99,113.1,76.32,69.4
20190110,193.6,69.08,88.2,335.13,147.02,51.35,237.77,19.74,165.07,15.34,104.07,45.77,69.9,157.2,63.13,63.4,77.27,119.57,110.93,202.64,82.2,146.3,167.23,42.51,83.54,1078.83,1070.33,48.86,1656.22,,65.81,32.04,74.72,98.26,41.42,161.86,90.76,113.44,76.0,70.6
20190111,192.21,69.33,88.31,323.8,146.23,46.54,237.55,20.27,159.42,15.39,102.11,45.69,70.38,156.79,63.1,64.14,77.41,120.34,111.13,198.25,82.07,149.26,167.47,41.96,83.45,1064.47,1057.19,48.9,1640.56,,65.55,31.8,74.44,98.55,41.66,161.4,90.64,113.44,76.56,70.55
20190114,192.17,68.27,84.76,315.25,144.93,47.29,234.56,20.23,158.72,15.04,102.36,45.93,69.75,155.12,62.69,64.36,76.97,119.19,107.58,193.94,81.77,149.26,168.14,41.25,83.8,1051.51,1044.69,48.26,1617.21,,64.96,31.71,73.79,98.44,42.0,161.4,90.43,114.04,76.86,70.21
20190115,188.94,70.47,85.5,325.61,146.89,46.84,242.36,20.38,160.28,15.44,103.96,46.4,70.6,155.08,63.44,64.28,73.64,120.93,111.73,195.05,81.75,152.69,167.61,42.03,84.23,1086.51,1077.15,47.91,1674.56,,66.04,32.1,75.38,97.99,42.45,163.05,91.42,115.18,77.26,69.88
20190116,189.48,69.82,85.55,324.13,147.88,47.13,241.95,19.73,162.44,15.51,107.15,46.81,70.03,154.62,63.82,64.9,73.93,121.9,111.7,206.79,81.01,152.89,168.74,42.39,84.54,1089.51,1080.97,47.2,1683.78,,66.67,32.84,75.72,99.41,43.13,163.78,91.79,118.26,77.3,70.28
20190117,191.71,70.52,87.2,330.32,149.12,47.38,244.4,20.25,166.28,15.49,107.06,47.32,70.82,155.98,64.83,64.42,75.29,122.75,114.62,212.67,81.76,156.56,169.69,42.53,84.57,1099.12,1089.9,47.06,1693.22,,67.06,33.58,76.0,99.49,43.29,164.38,92.56,118.59,76.08,71.23
20190118,195.86,71.42,89.5,333.74,150.45,48.65,247.51,20.77,167.61,15.55,108.57,47.7,71.93,158.62,65.79,64.86,76.63,124.26,117.05,220.09,83.51,160.22,172.52,42.95,85.7,1107.3,1098.26,48.31,1696.2,,67.24,33.97,76.09,100.48,44.16,164.67,92.61,121.11,79.86,72.36
20190122,192.26,71.49,88.66,336.13,148.97,47.06,243.85,19.76,164.13,15.61,106.58,47.39,71.32,157.71,64.51,63.96,75.37,124.38,114.29,216.16,82.18,157.8,170.69,43.14,85.86,1078.63,1070.52,44.97,1632.17,,67.58,32.74,76.38,99.83,43.36,164.68,92.77,119.28,79.71,70.79
20190123,192.29,69.91,88.45,336.98,148.42,46.02,245.14,19.8,164.33,15.87,106.5,47.64,71.65,156.15,64.35,63.71,73.92,123.8,117.0,217.22,82.43,160.79,173.72,43.64,85.89,1084.41,1075.57,44.7,1640.02,,68.1,31.65,77.01,99.71,42.82,165.79,94.24,118.81,79.36,70.71
20190124,192.52,70.86,85.88,348.5,150.15,47.27,242.56,20.85,156.31,15.9,107.75,47.33,72.18,156.5,64.57,65.78,74.02,123.25,117.91,220.67,83.0,157.57,174.63,43.92,86.25,1084.0,1073.9,43.33,1654.93,,68.75,33.66,77.75,99.72,42.94,165.65,94.64,119.78,78.7,71.2
20190125,195.9,71.15,80.54,349.37,151.85,47.8,244.95,21.93,153.22,15.88,109.62,47.57,73.65,160.91,65.44,63.48,76.58,125.41,121.44,227.22,84.19,160.66,177.71,43.1,86.15,1101.51,1090.99,44.24,1670.57,,67.94,34.98,76.8,100.77,43.18,167.41,93.27,121.12,79.66,71.32
20190128,193.2,69.05,77.14,336.9,152.24,46.74,241.85,20.18,154.86,15.87,109.87,47.35,73.27,159.89,65.0,64.53,77.09,126.27,119.21,221.49,84.28,158.69,178.76,42.96,86.49,1079.86,1070.08,45.3,1637.89,,67.66,36.57,76.85,100.38,42.82,168.05,93.02,121.79,80.12,70.15
20190129,196.95,69.69,77.47,330.38,152.02,45.73,238.27,19.25,155.39,16.03,106.7,47.11,73.56,163.24,64.17,64.56,78.32,128.08,119.61,222.03,85.03,145.12,177.81,43.04,86.78,1070.06,1060.62,45.91,1593.88,,67.47,36.29,76.97,100.96,42.26,169.44,93.08,121.38,79.54,71.77
20190130,199.27,71.68,79.06,339.59,154.09,46.31,242.67,23.09,159.04,16.29,104.79,47.38,75.44,163.98,64.69,64.66,80.21,129.36,121.32,232.83,85.91,143.89,179.56,43.33,87.34,1097.99,1089.06,47.8,1670.43,,67.94,36.34,77.16,102.67,42.81,170.47,93.74,120.18,78.53,72.59
20190131,200.3,72.98,80.29,351.07,153.55,47.24,247.82,24.41,159.2,16.39,104.95,47.7,76.05,164.39,65.1,63.95,80.73,131.71,122.96,248.95,85.86,143.98,177.59,44.47,87.87,1125.89,1116.37,49.35,1718.73,,69.34,35.77,79.12,102.7,43.23,172.84,95.67,126.6,83.37,72.9
20190201,199.16,72.36,80.5,351.08,154.74,46.01,247.38,24.51,159.04,16.68,104.98,47.94,76.04,165.89,65.52,64.36,81.3,130.64,126.28,244.0,86.75,144.07,181.33,44.16,88.82,1118.62,1110.75,49.2,1626.23,,68.85,36.11,79.11,103.06,43.82,170.43,95.21,126.89,83.76,73.41
20190204,200.21,72.5,78.53,330.41,156.55,46.78,254.74,24.13,161.35,16.83,107.41,48.02,76.03,166.88,67.04,64.48,81.94,130.94,123.75,244.54,87.28,138.53,181.03,44.25,88.8,1141.42,1132.8,49.11,1633.31,,68.99,36.78,79.47,103.42,44.0,170.94,95.58,127.09,84.45,73.7
20190205,201.12,73.11,79.69,344.28,157.32,47.84,254.82,23.31,161.46,16.95,110.02,48.22,76.31,167.92,68.17,64.74,81.32,129.75,122.87,243.51,89.1,138.01,181.51,44.36,88.96,1151.87,1145.99,49.04,1658.81,,68.84,36.93,79.01,103.9,43.66,172.43,95.86,125.67,85.77,74.9
20190206,202.57,73.49,79.08,344.78,157.16,43.0,254.35,23.26,157.22,16.98,109.14,48.4,76.3,169.91,67.51,64.82,82.19,129.01,121.03,244.04,89.64,136.98,179.88,44.23,92.56,1122.89,1115.23,49.27,1640.26,,68.89,36.76,79.21,104.96,43.65,170.27,95.15,126.69,86.64,74.62
20190207,199.84,72.74,79.17,341.61,155.18,43.96,253.74,22.67,163.13,17.11,108.6,48.45,75.33,166.22,66.59,65.23,80.64,132.72,118.79,239.45,90.74,132.44,162.19,44.74,92.33,1105.91,1098.71,48.72,1614.37,,69.72,36.17,79.45,104.39,42.83,172.01,96.87,125.22,85.8,75.11
